timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T15:05:08.9021746Z,pytest_sqlalchemy,S2,8,measured,7372,0
2025-12-24T15:05:16.2365719Z,pytest_sqlalchemy,S2,9,measured,7333,0
2025-12-24T15:05:23.4947320Z,pytest_sqlalchemy,S2,10,measured,7257,0
2025-12-24T15:05:30.6377871Z,pytest_sqlalchemy,S2,11,measured,7142,0
2025-12-24T15:05:38.0728056Z,pytest_sqlalchemy,S2,12,measured,7434,0
2025-12-24T15:05:45.4793270Z,pytest_sqlalchemy,S2,13,measured,7405,0
2025-12-24T15:05:52.5883493Z,pytest_sqlalchemy,S2,14,measured,7107,0
2025-12-24T15:05:59.5368024Z,pytest_sqlalchemy,S2,15,measured,6947,0
2025-12-24T15:06:06.0184751Z,pytest_sqlalchemy,S2,16,measured,6481,0
2025-12-24T15:06:13.3091112Z,pytest_sqlalchemy,S2,17,measured,7289,0
2025-12-24T15:06:20.0575746Z,pytest_sqlalchemy,S2,18,measured,6747,0
2025-12-24T15:06:26.8695838Z,pytest_sqlalchemy,S2,19,measured,6810,0
2025-12-24T15:06:33.6779498Z,pytest_sqlalchemy,S2,20,measured,6808,0
2025-12-24T15:07:21.9794932Z,pytest_testcontainers,S2,1,measured,46268,0
2025-12-24T15:08:07.3000643Z,pytest_testcontainers,S2,2,measured,45300,0
2025-12-24T15:08:55.4460408Z,pytest_testcontainers,S2,3,measured,48144,0
2025-12-24T15:09:37.7030722Z,pytest_testcontainers,S2,4,measured,42255,0
2025-12-24T15:10:27.8297730Z,pytest_testcontainers,S2,5,measured,50124,0
2025-12-24T15:11:15.8617543Z,pytest_testcontainers,S2,6,measured,48029,0
2025-12-24T15:11:45.6818070Z,pytest_testcontainers,S2,7,measured,29819,0
2025-12-24T15:12:10.5593079Z,pytest_testcontainers,S2,8,measured,24876,0
2025-12-24T15:12:35.4775975Z,pytest_testcontainers,S2,9,measured,24917,0
2025-12-24T15:13:00.1396401Z,pytest_testcontainers,S2,10,measured,24662,0
2025-12-24T15:13:24.7663898Z,pytest_testcontainers,S2,11,measured,24625,0
2025-12-24T15:13:49.2772334Z,pytest_testcontainers,S2,12,measured,24510,0
2025-12-24T15:14:13.6961243Z,pytest_testcontainers,S2,13,measured,24417,0
2025-12-24T15:14:38.2074577Z,pytest_testcontainers,S2,14,measured,24510,0
2025-12-24T15:15:02.8702516Z,pytest_testcontainers,S2,15,measured,24662,0
2025-12-24T15:15:27.4063285Z,pytest_testcontainers,S2,16,measured,24527,0
2025-12-24T15:15:51.9731160Z,pytest_testcontainers,S2,17,measured,24566,0
2025-12-24T15:16:16.3911186Z,pytest_testcontainers,S2,18,measured,24417,0
2025-12-24T15:16:41.0649256Z,pytest_testcontainers,S2,19,measured,24673,0
2025-12-24T15:17:05.6207780Z,pytest_testcontainers,S2,20,measured,24554,0
2025-12-24T15:17:41.1329694Z,dbt,S2,1,measured,30388,0
2025-12-24T15:18:13.3804082Z,dbt,S2,2,measured,32240,0
2025-12-24T15:18:45.3711467Z,dbt,S2,3,measured,31989,0
2025-12-24T15:19:18.1212412Z,dbt,S2,4,measured,32749,0
2025-12-24T15:19:54.9586219Z,dbt,S2,5,measured,36836,0
2025-12-24T15:20:30.6577743Z,dbt,S2,6,measured,35698,0
2025-12-24T15:21:00.6543791Z,dbt,S2,7,measured,29997,0
2025-12-24T15:21:50.6745788Z,dbt,S2,8,measured,50019,0
2025-12-24T15:22:20.4135577Z,dbt,S2,9,measured,29737,0
